0	{"image_id": "refcrack_0009160_0009160_02_2", "width": 416, "height": 416, "vrt_indices": [262, 293, 294, 324, 354, 383, 413, 443, 473, 474, 504, 534, 535, 565, 566, 596, 597], "patch_points": [[21.0, 132.0], [49.0, 144.0], [62.0, 149.0], [76.0, 161.0], [88.0, 175.0], [92.0, 187.0], [103.0, 203.0], [117.0, 218.0], [133.0, 230.0], [145.0, 233.0], [159.0, 246.0], [175.0, 256.0], [188.0, 259.0], [203.0, 271.0], [216.0, 273.0], [231.0, 284.0], [244.0, 287.0]], "conversations": [{"role": "user", "content": [{"type": "image", "image": "/home/yrquni/Downloads/Unilab/PaDT/dataset/dataset_root/images/0009160.png"}, {"type": "text", "text": "从左边斜穿到中间偏下的裂缝"}]}, {"role": "assistant", "content": [{"type": "text", "text": "<|object_ref_start|><|box_start|><278><0><709><622><|box_end|><|point_start|><512><309><|point_end|>"}]}], "boxes": [{"bbox": [0.0, 116.0, 259.0, 295.0], "point": [128.79601990049753, 213.4071310116086], "phrase": "从左边斜穿到中间偏下的裂缝"}], "caption": "从左边斜穿到中间偏下的裂缝"}
38411	{"image_id": "refcrack_0009160_0009160_02_4", "width": 416, "height": 416, "vrt_indices": [262, 293, 294, 324, 354, 383, 413, 443, 473, 474, 504, 534, 535, 565, 566, 596, 597], "patch_points": [[21.0, 132.0], [49.0, 144.0], [62.0, 149.0], [76.0, 161.0], [88.0, 175.0], [92.0, 187.0], [103.0, 203.0], [117.0, 218.0], [133.0, 230.0], [145.0, 233.0], [159.0, 246.0], [175.0, 256.0], [188.0, 259.0], [203.0, 271.0], [216.0, 273.0], [231.0, 284.0], [244.0, 287.0]], "conversations": [{"role": "user", "content": [{"type": "image", "image": "/home/yrquni/Downloads/Unilab/PaDT/dataset/dataset_root/images/0009160.png"}, {"type": "text", "text": "浅色带纹的面上左斜到中下部的裂缝"}]}, {"role": "assistant", "content": [{"type": "text", "text": "<|object_ref_start|><|box_start|><278><0><709><622><|box_end|><|point_start|><512><309><|point_end|>"}]}], "boxes": [{"bbox": [0.0, 116.0, 259.0, 295.0], "point": [128.79601990049753, 213.4071310116086], "phrase": "浅色带纹的面上左斜到中下部的裂缝"}], "caption": "浅色带纹的面上左斜到中下部的裂缝"}
76826	{"image_id": "refcrack_0009160_0009160_03_1", "width": 416, "height": 416, "vrt_indices": [537, 570, 601, 602, 633, 663, 693, 694, 724], "patch_points": [[217.0, 257.0], [273.0, 272.0], [301.0, 284.0], [315.0, 287.0], [342.0, 301.0], [357.0, 314.0], [372.0, 325.0], [384.0, 330.0], [399.0, 340.0]], "conversations": [{"role": "user", "content": [{"type": "image", "image": "/home/yrquni/Downloads/Unilab/PaDT/dataset/dataset_root/images/0009160.png"}, {"type": "text", "text": "从中间偏下斜向右下的裂缝"}]}, {"role": "assistant", "content": [{"type": "text", "text": "<|object_ref_start|><|box_start|><605><497><841><997><|box_end|><|point_start|><715><775><|point_end|>"}]}], "boxes": [{"bbox": [207.0, 252.0, 415.0, 350.0], "point": [322.5459317585302, 297.61198600174976], "phrase": "从中间偏下斜向右下的裂缝"}], "caption": "从中间偏下斜向右下的裂缝"}
115241	{"image_id": "refcrack_0009161_0009161_00_1", "width": 416, "height": 416, "vrt_indices": [38, 67, 96, 125, 154, 183, 212, 241, 270, 299, 328], "patch_points": [[129.0, 21.0], [129.0, 34.0], [129.0, 48.0], [128.0, 62.0], [128.0, 76.0], [128.0, 91.0], [128.0, 104.0], [128.0, 118.0], [128.0, 133.0], [129.0, 147.0], [133.0, 161.0]], "conversations": [{"role": "user", "content": [{"type": "image", "image": "/home/yrquni/Downloads/Unilab/PaDT/dataset/dataset_root/images/0009161.png"}, {"type": "text", "text": "紧挨着右侧长裂缝左侧的竖直裂缝"}]}, {"role": "assistant", "content": [{"type": "text", "text": "<|object_ref_start|><|box_start|><0><290><487><341><|box_end|><|point_start|><241><312><|point_end|>"}]}], "boxes": [{"bbox": [121.0, 0.0, 142.0, 203.0], "point": [130.01154586273253, 100.28864656831303], "phrase": "紧挨着右侧长裂缝左侧的竖直裂缝"}], "caption": "紧挨着右侧长裂缝左侧的竖直裂缝"}
153933	{"image_id": "refcrack_0009161_0009161_00_3", "width": 416, "height": 416, "vrt_indices": [38, 67, 96, 125, 154, 183, 212, 241, 270, 299, 328], "patch_points": [[129.0, 21.0], [129.0, 34.0], [129.0, 48.0], [128.0, 62.0], [128.0, 76.0], [128.0, 91.0], [128.0, 104.0], [128.0, 118.0], [128.0, 133.0], [129.0, 147.0], [133.0, 161.0]], "conversations": [{"role": "user", "content": [{"type": "image", "image": "/home/yrquni/Downloads/Unilab/PaDT/dataset/dataset_root/images/0009161.png"}, {"type": "text", "text": "从上方延伸到中下部的竖直细裂缝"}]}, {"role": "assistant", "content": [{"type": "text", "text": "<|object_ref_start|><|box_start|><0><290><487><341><|box_end|><|point_start|><241><312><|point_end|>"}]}], "boxes": [{"bbox": [121.0, 0.0, 142.0, 203.0], "point": [130.01154586273253, 100.28864656831303], "phrase": "从上方延伸到中下部的竖直细裂缝"}], "caption": "从上方延伸到中下部的竖直细裂缝"}
192625	{"image_id": "refcrack_0009161_0009161_01_3", "width": 416, "height": 416, "vrt_indices": [10, 69, 98, 128, 157, 158, 188, 218, 219, 248, 278, 307, 337, 367, 396, 425, 426, 455, 484, 514], "patch_points": [[146.0, 7.0], [158.0, 35.0], [162.0, 48.0], [173.0, 63.0], [177.0, 74.0], [188.0, 77.0], [203.0, 90.0], [218.0, 101.0], [229.0, 106.0], [234.0, 117.0], [244.0, 133.0], [247.0, 145.0], [261.0, 159.0], [270.0, 175.0], [273.0, 188.0], [276.0, 201.0], [284.0, 204.0], [287.0, 216.0], [289.0, 230.0], [299.0, 245.0]], "conversations": [{"role": "user", "content": [{"type": "image", "image": "/home/yrquni/Downloads/Unilab/PaDT/dataset/dataset_root/images/0009161.png"}, {"type": "text", "text": "贯穿画面中上部的弯曲斜裂缝"}]}, {"role": "assistant", "content": [{"type": "text", "text": "<|object_ref_start|><|box_start|><0><324><622><733><|box_end|><|point_start|><308><552><|point_end|>"}]}], "boxes": [{"bbox": [135.0, 0.0, 305.0, 259.0], "point": [229.74957936062816, 128.14694335389794], "phrase": "贯穿画面中上部的弯曲斜裂缝"}], "caption": "贯穿画面中上部的弯曲斜裂缝"}
231317	{"image_id": "refcrack_0009161_0009161_01_4", "width": 416, "height": 416, "vrt_indices": [10, 69, 98, 128, 157, 158, 188, 218, 219, 248, 278, 307, 337, 367, 396, 425, 426, 455, 484, 514], "patch_points": [[146.0, 7.0], [158.0, 35.0], [162.0, 48.0], [173.0, 63.0], [177.0, 74.0], [188.0, 77.0], [203.0, 90.0], [218.0, 101.0], [229.0, 106.0], [234.0, 117.0], [244.0, 133.0], [247.0, 145.0], [261.0, 159.0], [270.0, 175.0], [273.0, 188.0], [276.0, 201.0], [284.0, 204.0], [287.0, 216.0], [289.0, 230.0], [299.0, 245.0]], "conversations": [{"role": "user", "content": [{"type": "image", "image": "/home/yrquni/Downloads/Unilab/PaDT/dataset/dataset_root/images/0009161.png"}, {"type": "text", "text": "粗糙墙面纹理里从左上方斜向右下、边缘带细微起伏的裂缝"}]}, {"role": "assistant", "content": [{"type": "text", "text": "<|object_ref_start|><|box_start|><0><324><622><733><|box_end|><|point_start|><308><552><|point_end|>"}]}], "boxes": [{"bbox": [135.0, 0.0, 305.0, 259.0], "point": [229.74957936062816, 128.14694335389794], "phrase": "粗糙墙面纹理里从左上方斜向右下、边缘带细微起伏的裂缝"}], "caption": "粗糙墙面纹理里从左上方斜向右下、边缘带细微起伏的裂缝"}
270009	{"image_id": "refcrack_0009162_0009162_01_3", "width": 416, "height": 416, "vrt_indices": [176, 205, 236, 266, 296, 325, 355, 384, 414, 444, 474, 504, 534, 564, 565, 594, 595, 625], "patch_points": [[31.0, 93.0], [35.0, 103.0], [62.0, 119.0], [77.0, 132.0], [90.0, 147.0], [92.0, 160.0], [101.0, 175.0], [104.0, 189.0], [116.0, 204.0], [131.0, 219.0], [145.0, 231.0], [159.0, 247.0], [175.0, 258.0], [189.0, 272.0], [201.0, 275.0], [204.0, 284.0], [216.0, 287.0], [230.0, 300.0]], "conversations": [{"role": "user", "content": [{"type": "image", "image": "/home/yrquni/Downloads/Unilab/PaDT/dataset/dataset_root/images/0009162.png"}, {"type": "text", "text": "从左上穿到右下，走势陡还晃悠悠的裂缝"}]}, {"role": "assistant", "content": [{"type": "text", "text": "<|object_ref_start|><|box_start|><199><48><737><576><|box_end|><|point_start|><488><308><|point_end|>"}]}], "boxes": [{"bbox": [20.0, 83.0, 240.0, 307.0], "point": [128.4377094972067, 203.40754189944133], "phrase": "从左上穿到右下，走势陡还晃悠悠的裂缝"}], "caption": "从左上穿到右下，走势陡还晃悠悠的裂缝"}
308189	{"image_id": "refcrack_0009162_0009162_01_4", "width": 416, "height": 416, "vrt_indices": [176, 205, 236, 266, 296, 325, 355, 384, 414, 444, 474, 504, 534, 564, 565, 594, 595, 625], "patch_points": [[31.0, 93.0], [35.0, 103.0], [62.0, 119.0], [77.0, 132.0], [90.0, 147.0], [92.0, 160.0], [101.0, 175.0], [104.0, 189.0], [116.0, 204.0], [131.0, 219.0], [145.0, 231.0], [159.0, 247.0], [175.0, 258.0], [189.0, 272.0], [201.0, 275.0], [204.0, 284.0], [216.0, 287.0], [230.0, 300.0]], "conversations": [{"role": "user", "content": [{"type": "image", "image": "/home/yrquni/Downloads/Unilab/PaDT/dataset/dataset_root/images/0009162.png"}, {"type": "text", "text": "画面左边偏上处开始，斜着往下、路径不直的裂缝"}]}, {"role": "assistant", "content": [{"type": "text", "text": "<|object_ref_start|><|box_start|><199><48><737><576><|box_end|><|point_start|><488><308><|point_end|>"}]}], "boxes": [{"bbox": [20.0, 83.0, 240.0, 307.0], "point": [128.4377094972067, 203.40754189944133], "phrase": "画面左边偏上处开始，斜着往下、路径不直的裂缝"}], "caption": "画面左边偏上处开始，斜着往下、路径不直的裂缝"}
346369	{"image_id": "refcrack_0009162_0009162_02_0", "width": 416, "height": 416, "vrt_indices": [247, 278, 339, 398, 458, 488], "patch_points": [[217.0, 116.0], [245.0, 129.0], [286.0, 161.0], [302.0, 187.0], [329.0, 216.0], [344.0, 227.0]], "conversations": [{"role": "user", "content": [{"type": "image", "image": "/home/yrquni/Downloads/Unilab/PaDT/dataset/dataset_root/images/0009162.png"}, {"type": "text", "text": "偏右上的一段弧形裂缝"}]}, {"role": "assistant", "content": [{"type": "text", "text": "<|object_ref_start|><|box_start|><250><442><555><850><|box_end|><|point_start|><395><668><|point_end|>"}]}], "boxes": [{"bbox": [184.0, 104.0, 354.0, 231.0], "point": [278.0776470588235, 164.32156862745097], "phrase": "偏右上的一段弧形裂缝"}], "caption": "偏右上的一段弧形裂缝"}
